request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today; the 90-day forecast remains above the required minimum balance.
request_90,487.73,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 487.73 is safely available today; the full ZAR 2560 request cannot be completed within the forecast.
request_91,316.19,affordable_later,wait,2024-11-13:1927.2,2024-11-13,none,Wait and pay EUR 1927.2 on 2024-11-13; paying sooner would breach the forecast safety buffer.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,,none,Pay ZAR 34034 today; the 90-day forecast remains above the required minimum balance.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today; the 90-day forecast remains above the required minimum balance.
request_94,461.03,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 461.03 is safely available today; the full EUR 572 request cannot be completed within the forecast.
request_95,134601,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 134601 is safely available today; the full INR 553000 request cannot be completed within the forecast.
request_96,90200,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 90200 is safely available today; the full INR 90200 request cannot be completed within the forecast.
request_97,1581.11,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Use the selected installment schedule for the full ZAR 23496 request; the forecast remains above the minimum balance.
request_98,16111.02,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 16111.02 is safely available today; the full ZAR 27148 request cannot be completed within the forecast.
request_99,17529.87,not_affordable,not_recommended,none,2026-07-15,none,Do not proceed. Only ZAR 17529.87 is safely available today; the full ZAR 18062 request cannot be completed within the forecast.
request_100,34015.62,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 34015.62 is safely available today; the full ZAR 37114 request cannot be completed within the forecast.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today; the 90-day forecast remains above the required minimum balance.
request_102,1716,not_affordable,not_recommended,none,2026-04-05,none,Do not proceed. Only EUR 1716 is safely available today; the full EUR 1716 request cannot be completed within the forecast.
request_103,9834.81,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 9834.81 is safely available today; the full INR 368300 request cannot be completed within the forecast.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,,none,Pay ZAR 17204 today; the 90-day forecast remains above the required minimum balance.
request_105,49363.91,not_affordable,not_recommended,none,2026-06-15,none,Do not proceed. Only INR 49363.91 is safely available today; the full INR 53500 request cannot be completed within the forecast.
request_106,460.01,not_affordable,not_recommended,none,2025-02-16,none,Do not proceed. Only EUR 460.01 is safely available today; the full EUR 2207.7 request cannot be completed within the forecast.
request_107,2534.4,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 2534.4 is safely available today; the full EUR 2534.4 request cannot be completed within the forecast.
request_108,6833.71,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 6833.71 is safely available today; the full ZAR 55308 request cannot be completed within the forecast.
request_109,572.53,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-16,none,Use the selected installment schedule for the full EUR 1863.4 request; the forecast remains above the minimum balance.
request_110,18538.79,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 18538.79 is safely available today; the full ZAR 22352 request cannot be completed within the forecast.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today; the 90-day forecast remains above the required minimum balance.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,,none,Pay EUR 271.7 today; the 90-day forecast remains above the required minimum balance.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,,none,Pay INR 36500 today; the 90-day forecast remains above the required minimum balance.
request_114,54910.24,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only INR 54910.24 is safely available today; the full INR 65300 request cannot be completed within the forecast.
request_115,14785.64,affordable_later,wait,2024-11-13:80500,2024-11-13,none,Wait and pay INR 80500 on 2024-11-13; paying sooner would breach the forecast safety buffer.
request_116,7498.55,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 7498.55 is safely available today; the full INR 241200 request cannot be completed within the forecast.
request_117,862.96,not_affordable,not_recommended,none,2026-07-16,none,Do not proceed. Only EUR 862.96 is safely available today; the full EUR 880 request cannot be completed within the forecast.
request_118,529.77,not_affordable,not_recommended,none,2025-02-21,none,Do not proceed. Only EUR 529.77 is safely available today; the full EUR 738.1 request cannot be completed within the forecast.
request_119,116351.01,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 116351.01 is safely available today; the full INR 203500 request cannot be completed within the forecast.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today; the 90-day forecast remains above the required minimum balance.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today; the 90-day forecast remains above the required minimum balance.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use the selected installment schedule for the full IDR 20558000 request; the forecast remains above the minimum balance.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,,none,Pay IDR 4076000 today; the 90-day forecast remains above the required minimum balance.
request_124,1389.85,not_affordable,not_recommended,none,2024-07-16,none,Do not proceed. Only EUR 1389.85 is safely available today; the full EUR 3104.2 request cannot be completed within the forecast.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,,none,Pay ZAR 6468 today; the 90-day forecast remains above the required minimum balance.
request_126,15363.01,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 15363.01 is safely available today; the full INR 159600 request cannot be completed within the forecast.
request_127,23515.65,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 23515.65 is safely available today; the full ZAR 23980 request cannot be completed within the forecast.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,,none,Pay ZAR 25168 today; the 90-day forecast remains above the required minimum balance.
request_129,113.62,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 113.62 is safely available today; the full USD 2668.8 request cannot be completed within the forecast.
request_130,372,affordable_later,wait,2025-01-16:1978.8,2025-01-16,none,Wait and pay USD 1978.8 on 2025-01-16; paying sooner would breach the forecast safety buffer.
request_131,1855.2,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 1855.2 is safely available today; the full USD 1855.2 request cannot be completed within the forecast.
request_132,202.59,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only USD 202.59 is safely available today; the full USD 379.86 request cannot be completed within the forecast.
request_133,15770000,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 15770000 is safely available today; the full IDR 15770000 request cannot be completed within the forecast.
request_134,4452918.81,not_affordable,not_recommended,none,2025-10-16,none,Do not proceed. Only IDR 4452918.81 is safely available today; the full IDR 21831000 request cannot be completed within the forecast.
request_135,277.9,not_affordable,not_recommended,none,2026-07-16,none,Do not proceed. Only USD 277.9 is safely available today; the full USD 304.8 request cannot be completed within the forecast.
request_136,534.59,not_affordable,not_recommended,none,2024-06-15,none,Do not proceed. Only USD 534.59 is safely available today; the full USD 560.4 request cannot be completed within the forecast.
request_137,25413.43,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 25413.43 is safely available today; the full INR 80100 request cannot be completed within the forecast.
request_138,752.94,affordable_with_plan,partial_payment,2026-04-07:752.94|2026-04-15:504,2026-04-15,none,Pay EUR 752.94 today and the remaining EUR 504 on 2026-04-15; the full request completes safely by the deadline.
request_139,1713.63,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,Use the selected installment schedule for the full USD 2316 request; the forecast remains above the minimum balance.
request_140,12683.57,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 12683.57 is safely available today; the full ZAR 62832 request cannot be completed within the forecast.
request_141,20587.37,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 20587.37 is safely available today; the full INR 171600 request cannot be completed within the forecast.
request_142,1248.9,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 1248.9 is safely available today; the full USD 1263.6 request cannot be completed within the forecast.
request_143,2103.93,not_affordable,not_recommended,none,2025-07-17,none,Do not proceed. Only ZAR 2103.93 is safely available today; the full ZAR 12584 request cannot be completed within the forecast.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,,none,Pay USD 233.34 today; the 90-day forecast remains above the required minimum balance.
request_145,10820.13,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 10820.13 is safely available today; the full INR 217400 request cannot be completed within the forecast.
request_146,16403.2,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 16403.2 is safely available today; the full INR 449400 request cannot be completed within the forecast.
request_147,506.25,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 506.25 is safely available today; the full EUR 1129.7 request cannot be completed within the forecast.
request_148,7209.77,not_affordable,not_recommended,none,2024-07-16,none,Do not proceed. Only ZAR 7209.77 is safely available today; the full ZAR 22242 request cannot be completed within the forecast.
request_149,26412.4,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,Use the selected installment schedule for the full ZAR 36652 request; the forecast remains above the minimum balance.
request_150,238.46,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only EUR 238.46 is safely available today; the full EUR 496.1 request cannot be completed within the forecast.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today; the 90-day forecast remains above the required minimum balance.
request_152,11885.32,not_affordable,not_recommended,none,2025-04-15,none,Do not proceed. Only ZAR 11885.32 is safely available today; the full ZAR 13882 request cannot be completed within the forecast.
request_153,415.71,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 415.71 is safely available today; the full USD 2830.8 request cannot be completed within the forecast.
request_154,1625.8,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 1625.8 is safely available today; the full EUR 1625.8 request cannot be completed within the forecast.
request_155,15479.55,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 15479.55 is safely available today; the full INR 112500 request cannot be completed within the forecast.
request_156,8587.08,not_affordable,not_recommended,none,2026-06-16,none,Do not proceed. Only ZAR 8587.08 is safely available today; the full ZAR 43076 request cannot be completed within the forecast.
request_157,4744198.84,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,Wait and pay IDR 23503000 on 2024-04-17; paying sooner would breach the forecast safety buffer.
request_158,208223.58,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 208223.58 is safely available today; the full INR 242600 request cannot be completed within the forecast.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today; the 90-day forecast remains above the required minimum balance.
request_160,572.22,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-16,none,Use the selected installment schedule for the full EUR 1246.3 request; the forecast remains above the minimum balance.
request_161,10726711.89,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 10726711.89 is safely available today; the full IDR 21204000 request cannot be completed within the forecast.
request_162,1392894.33,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 1392894.33 is safely available today; the full IDR 83923000 request cannot be completed within the forecast.
request_163,7850457.94,not_affordable,not_recommended,none,2024-11-18,none,Do not proceed. Only IDR 7850457.94 is safely available today; the full IDR 19304000 request cannot be completed within the forecast.
request_164,27018000,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 27018000 is safely available today; the full IDR 27018000 request cannot be completed within the forecast.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today; the 90-day forecast remains above the required minimum balance.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use the selected installment schedule for the full USD 2907.6 request; the forecast remains above the minimum balance.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,,none,Pay ZAR 43802 today; the 90-day forecast remains above the required minimum balance.
request_168,30479.54,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only INR 30479.54 is safely available today; the full INR 49380 request cannot be completed within the forecast.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,,none,Pay ZAR 41976 today; the 90-day forecast remains above the required minimum balance.
request_170,29947522.03,not_affordable,not_recommended,none,2025-09-15,none,Do not proceed. Only IDR 29947522.03 is safely available today; the full IDR 36936000 request cannot be completed within the forecast.
request_171,32.94,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 32.94 is safely available today; the full EUR 1878.8 request cannot be completed within the forecast.
request_172,9037.52,affordable_with_plan,partial_payment,2024-06-05:9037.52|2024-06-15:1162.48,2024-06-15,none,Pay ZAR 9037.52 today and the remaining ZAR 1162.48 on 2024-06-15; the full request completes safely by the deadline.
request_173,83000.2,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 83000.2 is safely available today; the full INR 113000 request cannot be completed within the forecast.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use the selected installment schedule for the full EUR 1146.2 request; the forecast remains above the minimum balance.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today; the 90-day forecast remains above the required minimum balance.
request_176,632.32,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 632.32 is safely available today; the full EUR 1239.7 request cannot be completed within the forecast.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today; the 90-day forecast remains above the required minimum balance.
request_178,2698.07,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 2698.07 is safely available today; the full EUR 2938.1 request cannot be completed within the forecast.
request_179,6681805.7,not_affordable,not_recommended,none,2025-07-17,none,Do not proceed. Only IDR 6681805.7 is safely available today; the full IDR 41648000 request cannot be completed within the forecast.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,,none,Pay INR 66500 today; the 90-day forecast remains above the required minimum balance.
request_181,287.76,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 287.76 is safely available today; the full USD 5059.2 request cannot be completed within the forecast.
request_182,6146.71,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 6146.71 is safely available today; the full ZAR 65714 request cannot be completed within the forecast.
request_183,26866000,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 26866000 is safely available today; the full IDR 26866000 request cannot be completed within the forecast.
request_184,49078.9,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 49078.9 is safely available today; the full INR 251900 request cannot be completed within the forecast.
request_185,419.04,affordable_later,wait,2026-01-13:1257.3,2026-01-13,none,Wait and pay EUR 1257.3 on 2026-01-13; paying sooner would breach the forecast safety buffer.
request_186,3764.16,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 3764.16 is safely available today; the full ZAR 26554 request cannot be completed within the forecast.
request_187,37686.25,affordable_later,wait,2024-11-13:187500,2024-11-13,none,Wait and pay INR 187500 on 2024-11-13; paying sooner would breach the forecast safety buffer.
request_188,175.28,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 175.28 is safely available today; the full EUR 2464 request cannot be completed within the forecast.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today; the 90-day forecast remains above the required minimum balance.
request_190,543.49,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 543.49 is safely available today; the full EUR 2557.5 request cannot be completed within the forecast.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today; the 90-day forecast remains above the required minimum balance.
request_192,363.14,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 363.14 is safely available today; the full USD 2046 request cannot be completed within the forecast.
request_193,39.02,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-17,none,Use the selected installment schedule for the full EUR 1212.2 request; the forecast remains above the minimum balance.
request_194,33763.42,not_affordable,not_recommended,none,2025-10-24,none,Do not proceed. Only INR 33763.42 is safely available today; the full INR 132800 request cannot be completed within the forecast.
request_195,969.1,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only EUR 969.1 is safely available today; the full EUR 1170.4 request cannot be completed within the forecast.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today; the 90-day forecast remains above the required minimum balance.
request_197,50939000,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 50939000 is safely available today; the full IDR 50939000 request cannot be completed within the forecast.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today; the 90-day forecast remains above the required minimum balance.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use the selected installment schedule for the full IDR 23674000 request; the forecast remains above the minimum balance.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,,none,Pay IDR 21717000 today; the 90-day forecast remains above the required minimum balance.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today; the 90-day forecast remains above the required minimum balance.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today; the 90-day forecast remains above the required minimum balance.
request_203,1032.17,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 1032.17 is safely available today; the full EUR 1442.1 request cannot be completed within the forecast.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,,none,Pay EUR 588.74 today; the 90-day forecast remains above the required minimum balance.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today; the 90-day forecast remains above the required minimum balance.
